district,relative_month,Z,complaints_1000,n_officers
7D,-360,Control,20.20202020202024,99
7D,-360,Officer Assigned BWC,31.446540880503026,159
7D,-330,Control,70.70707070707083,99
7D,-330,Officer Assigned BWC,50.31446540880485,159
7D,-300,Control,20.20202020202024,99
7D,-300,Officer Assigned BWC,25.157232704402425,159
7D,-270,Control,10.10101010101012,99
7D,-270,Officer Assigned BWC,6.289308176100606,159
7D,-240,Control,10.10101010101012,99
7D,-240,Officer Assigned BWC,62.893081761006066,159
7D,-210,Control,20.20202020202024,99
7D,-210,Officer Assigned BWC,62.89308176100605,159
7D,-180,Control,30.303030303030354,99
7D,-180,Officer Assigned BWC,37.73584905660363,159
7D,-150,Control,0,99
7D,-150,Officer Assigned BWC,0,159
7D,-120,Control,40.40404040404048,99
7D,-120,Officer Assigned BWC,12.578616352201212,159
7D,-90,Control,0,99
7D,-90,Officer Assigned BWC,12.578616352201212,159
7D,-60,Control,30.303030303030354,99
7D,-60,Officer Assigned BWC,18.867924528301817,159
7D,-30,Control,0,99
7D,-30,Officer Assigned BWC,25.157232704402425,159
7D,0,Control,10.10101010101012,99
7D,0,Officer Assigned BWC,12.578616352201212,159
7D,30,Control,0,99
7D,30,Officer Assigned BWC,12.578616352201212,159
7D,60,Control,10.10101010101012,99
7D,60,Officer Assigned BWC,18.867924528301817,159
7D,90,Control,10.10101010101012,99
7D,90,Officer Assigned BWC,6.289308176100606,159
7D,120,Control,50.50505050505059,99
7D,120,Officer Assigned BWC,50.314465408804836,159
7D,150,Control,20.20202020202024,99
7D,150,Officer Assigned BWC,31.446540880503026,159
7D,180,Control,0,99
7D,180,Officer Assigned BWC,18.867924528301817,159
7D,210,Control,0,99
7D,210,Officer Assigned BWC,0,159
7D,240,Control,30.303030303030354,99
7D,240,Officer Assigned BWC,44.025157232704224,159
7D,270,Control,20.20202020202024,99
7D,270,Officer Assigned BWC,6.289308176100606,159
7D,300,Control,0,99
7D,300,Officer Assigned BWC,12.578616352201212,159
7D,330,Control,30.303030303030354,99
7D,330,Officer Assigned BWC,25.157232704402425,159
7D,360,Control,10.10101010101012,99
7D,360,Officer Assigned BWC,44.025157232704224,159
7D,390,Control,20.20202020202024,99
7D,390,Officer Assigned BWC,12.578616352201212,159
7D,420,Control,30.303030303030354,99
7D,420,Officer Assigned BWC,25.157232704402425,159
7D,450,Control,0,99
7D,450,Officer Assigned BWC,0,159
7D,480,Control,0,99
7D,480,Officer Assigned BWC,0,159
7D,510,Control,20.20202020202024,99
7D,510,Officer Assigned BWC,6.289308176100606,159
